lgd_state_code,lgd_district_code,lgd_state_name,lgd_district_name,soi_objectid,soi_state_lgd,soi_dist_lgd,soi_state_name,soi_district_name,match_method,confidence,verification_status
27,481,Maharashtra,Latur,545,27,524,MAHARASHTRA,LATUR,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
15,265,Mizoram,Lunglei,468,15,286,MIZORAM,LUNGLEI,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
36,688,Telangana,Mahabubabad,651,36,738,TELANGANA,MAHABUBABAD,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
24,451,Gujarat,Mahesana,209,24,471,GUJARAT,MAHESANA,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
9,164,Uttar Pradesh,Mahrajganj,318,09,187,UTTAR PRADESH,MAHRAJGANJ,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
15,266,Mizoram,Mamit,469,15,281,MIZORAM,MAMIT,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
2,22,Himachal Pradesh,Mandi,69,02,027,HIMACHAL PRADESH,MANDI,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
21,365,Odisha,Mayurbhanj,157,21,376,ODISHA,MAYURBHANJ,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
36,700,Telangana,Medchal Malkajgiri,655,36,749,TELANGANA,MEDCHAL-MALKAJGIRI,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
23,417,Madhya Pradesh,Morena,600,23,419,MADHYA PRADESH,MORENA,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
19,320,West Bengal,Nadia,92,19,336,WEST BENGAL,NADIA,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
27,485,Maharashtra,Nanded,548,27,511,MAHARASHTRA,NANDED,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
27,486,Maharashtra,Nandurbar,550,27,497,MAHARASHTRA,NANDURBAR,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
36,721,Telangana,Narayanpet,659,36,763,TELANGANA,NARAYANPET,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
23,418,Madhya Pradesh,Narsimhapur,602,23,452,MADHYA PRADESH,NARSIMHAPUR,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
23,419,Madhya Pradesh,Neemuch,603,23,432,MADHYA PRADESH,NEEMUCH,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
35,603,Andaman And Nicobar Islands,Nicobars,77,35,638,ANDAMAN AND NICOBAR ISLANDS,NICOBARS,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
36,680,Telangana,Nirmal,660,36,700,TELANGANA,NIRMAL,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
23,722,Madhya Pradesh,Niwari,604,23,753,MADHYA PRADESH,NIWARI,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
36,516,Telangana,Nizamabad,661,36,533,TELANGANA,NIZAMABAD,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
13,736,Nagaland,Noklak,480,13,708,NAGALAND,NOKLAK,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
30,551,Goa,North Goa,533,30,585,GOA,NORTH GOA,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
12,723,Arunachal Pradesh,Pakke Kessang,393,12,726,ARUNACHAL PRADESH,PAKKE KESSANG,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
20,337,Jharkhand,Pakur,762,20,353,JHARKHAND,PAKUR,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
23,785,Madhya Pradesh,Pandhurna,605,23,769,MADHYA PRADESH,PANDHURNA,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
27,489,Maharashtra,Parbhani,568,27,513,MAHARASHTRA,PARBHANI,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
3,41,Punjab,Patiala,260,03,048,PUNJAB,PATIALA,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
10,212,Bihar,Patna,795,10,230,BIHAR,Patna,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
36,682,Telangana,Peddapalli,662,36,715,TELANGANA,PEDDAPALLI,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
9,174,Uttar Pradesh,Pratapgarh,327,09,173,UTTAR PRADESH,PRATAPGARH,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
34,600,Puducherry,Puducherry,736,34,635,PUDUCHERRY,PUDUCHERRY,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
1,11,Jammu And Kashmir,Pulwama,16,01,012,JAMMU AND KASHMIR,PULWAMA,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
27,490,Maharashtra,Pune,552,27,521,MAHARASHTRA,PUNE,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
27,491,Maharashtra,Raigad,553,27,520,MAHARASHTRA,RAIGAD,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
22,386,Chhattisgarh,Raigarh,143,22,403,CHHATTISGARH,RAIGARH,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
22,387,Chhattisgarh,Raipur,132,22,410,CHHATTISGARH,RAIPUR,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
23,422,Madhya Pradesh,Rajgarh,608,23,442,MADHYA PRADESH,RAJGARH,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
24,458,Gujarat,Sabar Kantha,218,24,472,GUJARAT,SABAR KANTHA,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
9,177,Uttar Pradesh,Saharanpur,331,09,132,UTTAR PRADESH,SAHARANPUR,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
15,727,Mizoram,Saitual,473,15,682,MIZORAM,SAITUAL,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
33,584,Tamil Nadu,Salem,724,33,608,TAMIL NADU,SALEM,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
8,777,Rajasthan,Salumbar,527,08,775,RAJASTHAN,SALUMBAR,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
9,659,Uttar Pradesh,Sambhal,332,09,663,UTTAR PRADESH,SAMBHAL,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
36,691,Telangana,Sangareddy,665,36,740,TELANGANA,SANGAREDDY,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
10,218,Bihar,Saran,801,10,219,BIHAR,Saran,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
22,763,Chhattisgarh,Sarangarh-Bilaigarh,146,22,757,CHHATTISGARH,SARANGARH-BILAIGARH,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
23,426,Madhya Pradesh,Satna,612,23,429,MADHYA PRADESH,SATNA,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
7,671,Delhi,Shahdara,186,07,676,DELHI,SHAHDARA,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
13,765,Nagaland,Shamator,482,13,712,NAGALAND,SHAMATOR,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
9,660,Uttar Pradesh,Shamli,335,09,662,UTTAR PRADESH,SHAMLI,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
2,23,Himachal Pradesh,Shimla,63,02,033,HIMACHAL PRADESH,SHIMLA,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
29,547,Karnataka,Shivamogga,365,29,568,KARNATAKA,Shivamogga,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
12,725,Arunachal Pradesh,Shi Yomi,388,12,730,ARUNACHAL PRADESH,SHI YOMI,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
10,221,Bihar,Sitamarhi,804,10,206,BIHAR,Sitamarhi,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
6,75,Haryana,Sonipat,244,06,076,HARYANA,SONIPAT,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
35,602,Andaman And Nicobar Islands,South Andamans,76,35,640,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
3,39,Punjab,Sri Muktsar Sahib,250,03,044,PUNJAB,SRI MUKTSAR SAHIB,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
1,13,Jammu And Kashmir,Srinagar,21,01,010,JAMMU AND KASHMIR,SRINAGAR,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
28,515,Andhra Pradesh,Sri Potti Sriramulu Nellore,690,28,550,ANDHRA PRADESH,Sri Potti Sriramulu Nellore,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
28,754,Andhra Pradesh,Sri Sathya Sai,691,28,695,ANDHRA PRADESH,Sri Sathya Sai,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
24,641,Gujarat,Tapi,221,24,493,GUJARAT,TAPI,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
14,259,Manipur,Thoubal,451,14,276,MANIPUR,THOUBAL,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
33,592,Tamil Nadu,Tirunelveli,715,33,628,TAMIL NADU,TIRUNELVELI,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
13,757,Nagaland,Tseminyu,491,13,710,NAGALAND,TSEMINYU,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
23,436,Madhya Pradesh,Umaria,623,23,431,MADHYA PRADESH,UMARIA,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
24,461,Gujarat,Vadodara,222,24,486,GUJARAT,VADODARA,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
